model_id,variable,rmse,mae,normalized_rmse
BVAR-HOM-p1-forecast,EUA_ret,0.059191643613988036,0.04034911693332618,0.5069336125675196
BVAR-HOM-p1-forecast,TTF_ret,0.18560837382243597,0.12870823731772527,0.9723168435040799
BVAR-HOM-p1-forecast,Brent_ret,0.15436136217939758,0.0866176264072804,1.3178773685668235
BVAR-HOM-p1-forecast,Power_ret,0.0347467441173246,0.030463657173141496,0.5941740184621401
BVAR-HOM-p1-forecast,CPI_yoy_change,0.002642528988528356,0.0019394041262667753,0.6488255040367347
BVAR-HOM-p1-forecast,IP_growth,0.007519773293711319,0.004797643661936147,0.2800193530423364
BVAR-HOM-p1-forecast,Bund2Y_change,0.0019189706078390884,0.0011543326770887333,1.0339552370285996
BVAR-HOM-p1-forecast,CISS_change,0.030062805200710984,0.024120437348526765,0.3133484700479312
BVAR-HOM-p1-forecast,GreenEquity_relative,0.08829021362179693,0.06785443050408092,1.5930306987057432
BVAR-HOM-p1-forecast,GreenBond_relative,8.066515008625341e-4,6.880409624129709e-4,0.26148741813803
BVAR-HOM-p2-forecast,EUA_ret,0.05886871607879828,0.040096707520488384,0.504167971811219
BVAR-HOM-p2-forecast,TTF_ret,0.18510009324089527,0.12667013063055813,0.9696541954754361
BVAR-HOM-p2-forecast,Brent_ret,0.15534095384393135,0.08606636311736733,1.3262407418028368
BVAR-HOM-p2-forecast,Power_ret,0.036027801304066576,0.03124919468937759,0.6160802694178021
BVAR-HOM-p2-forecast,CPI_yoy_change,0.0027018315706695563,0.0020766535413806776,0.663386187350136
BVAR-HOM-p2-forecast,IP_growth,0.008995398460996736,0.005742369096776332,0.33496829745024936
BVAR-HOM-p2-forecast,Bund2Y_change,0.0017738300057735664,0.0010372860816573544,0.9557524313169895
BVAR-HOM-p2-forecast,CISS_change,0.02995323822364454,0.024117218555379797,0.3122064394089962
BVAR-HOM-p2-forecast,GreenEquity_relative,0.08853309960665003,0.06787809033693304,1.5974131190701768
BVAR-HOM-p2-forecast,GreenBond_relative,7.6347328195766e-4,6.482883312112906e-4,0.2474905917896485
BVAR-SV-p1-forecast,EUA_ret,0.0599673233155585,0.04129263738817091,0.5135767481404518
BVAR-SV-p1-forecast,TTF_ret,0.18565852825526624,0.12629710025973426,0.9725795794939114
BVAR-SV-p1-forecast,Brent_ret,0.15279249291105504,0.08564964630168963,1.3044829719782154
BVAR-SV-p1-forecast,Power_ret,0.03478715917263343,0.031024864609841482,0.5948651213677286
BVAR-SV-p1-forecast,CPI_yoy_change,0.002674599649586989,0.001974905991999583,0.6566998785153083
BVAR-SV-p1-forecast,IP_growth,0.004590917144599196,0.003209796878738084,0.17095537305316386
BVAR-SV-p1-forecast,Bund2Y_change,0.0019734751213269187,0.001150000128316742,1.0633226629455075
BVAR-SV-p1-forecast,CISS_change,0.034638016734871734,0.02447169293443903,0.361036486013288
BVAR-SV-p1-forecast,GreenEquity_relative,0.08583082358691389,0.0658034273038306,1.5486556353216805
BVAR-SV-p1-forecast,GreenBond_relative,7.293906401007192e-4,6.283917380378122e-4,0.2364422245418779
BVAR-SV-p2-forecast,EUA_ret,0.05930947176565876,0.03971905072837212,0.507942725458152
BVAR-SV-p2-forecast,TTF_ret,0.18509148682096366,0.12510622453453388,0.9696091104025515
BVAR-SV-p2-forecast,Brent_ret,0.15242324566626822,0.08663539320891435,1.3013304823885947
BVAR-SV-p2-forecast,Power_ret,0.03578584233663799,0.03210676797964183,0.6119427383877131
BVAR-SV-p2-forecast,CPI_yoy_change,0.002671186235419362,0.0019951174662165517,0.6558617760091822
BVAR-SV-p2-forecast,IP_growth,0.004746272162328227,0.003516299508865254,0.17674044261008048
BVAR-SV-p2-forecast,Bund2Y_change,0.0019517465218589476,0.0011261891964070027,1.0516151364615534
BVAR-SV-p2-forecast,CISS_change,0.03347483483821027,0.024225333182867338,0.34891249208547914
BVAR-SV-p2-forecast,GreenEquity_relative,0.08670853592804066,0.06645593562191034,1.5644923022260933
BVAR-SV-p2-forecast,GreenBond_relative,7.355746575687617e-4,6.329288262553989e-4,0.23844686069480128
