model_id,total_draws,stable_draws,unstable_draws,unstable_pct,warning,original_file,stable_file
BVAR-HOM-p1-pilot,2000,2000,0,0,,output/models/bvar_hom_p1_pilot.rds,output/models/bvar_hom_p1_pilot_stable_draws.rds
BVAR-HOM-p2-pilot,2000,1995,5,0.25,,output/models/bvar_hom_p2_pilot.rds,output/models/bvar_hom_p2_pilot_stable_draws.rds
BVAR-HOM-final-chain1,20000,19996,4,0.02,,output/models/bvar_hom_final_chain1.rds,output/models/bvar_hom_final_chain1_stable_draws.rds
BVAR-HOM-final-chain2,20000,19998,2,0.01,,output/models/bvar_hom_final_chain2.rds,output/models/bvar_hom_final_chain2_stable_draws.rds
BVAR-HOM-final-chain3,20000,19997,3,0.015,,output/models/bvar_hom_final_chain3.rds,output/models/bvar_hom_final_chain3_stable_draws.rds
BVAR-SV-p1-pilot,2000,2000,0,0,,output/models/bvar_sv_p1_pilot.rds,output/models/bvar_sv_p1_pilot_stable_draws.rds
BVAR-SV-p2-pilot,2000,2000,0,0,,output/models/bvar_sv_p2_pilot.rds,output/models/bvar_sv_p2_pilot_stable_draws.rds
BVAR-SV-final-chain1,20000,20000,0,0,,output/models/bvar_sv_final_chain1.rds,output/models/bvar_sv_final_chain1_stable_draws.rds
BVAR-SV-final-chain2,20000,20000,0,0,,output/models/bvar_sv_final_chain2.rds,output/models/bvar_sv_final_chain2_stable_draws.rds
BVAR-SV-final-chain3,20000,20000,0,0,,output/models/bvar_sv_final_chain3.rds,output/models/bvar_sv_final_chain3_stable_draws.rds
BVAR-HOM-p1-forecast,5000,4999,1,0.02,,output/models/bvar_hom_p1_forecast_train.rds,output/models/bvar_hom_p1_forecast_train_stable_draws.rds
BVAR-HOM-p2-forecast,5000,4993,7,0.14,,output/models/bvar_hom_p2_forecast_train.rds,output/models/bvar_hom_p2_forecast_train_stable_draws.rds
BVAR-SV-p1-forecast,5000,5000,0,0,,output/models/bvar_sv_p1_forecast_train.rds,output/models/bvar_sv_p1_forecast_train_stable_draws.rds
BVAR-SV-p2-forecast,5000,5000,0,0,,output/models/bvar_sv_p2_forecast_train.rds,output/models/bvar_sv_p2_forecast_train_stable_draws.rds
