model,lag,root_index,modulus,max_modulus,stable
VAR(1),1,1,0.6015888511169928,0.6015888511169928,TRUE
VAR(1),1,2,0.3084597012394008,0.6015888511169928,TRUE
VAR(1),1,3,0.3084597012394008,0.6015888511169928,TRUE
VAR(1),1,4,0.2935178897748295,0.6015888511169928,TRUE
VAR(1),1,5,0.2935178897748295,0.6015888511169928,TRUE
VAR(1),1,6,0.26795493141730103,0.6015888511169928,TRUE
VAR(1),1,7,0.1750616274184748,0.6015888511169928,TRUE
VAR(1),1,8,0.16543475607898542,0.6015888511169928,TRUE
VAR(1),1,9,0.16543475607898542,0.6015888511169928,TRUE
VAR(1),1,10,0.04081815047242422,0.6015888511169928,TRUE
VAR(2),2,1,0.7212397120133043,0.7212397120133043,TRUE
VAR(2),2,2,0.7212397120133043,0.7212397120133043,TRUE
VAR(2),2,3,0.6125736981000357,0.7212397120133043,TRUE
VAR(2),2,4,0.5930799942650626,0.7212397120133043,TRUE
VAR(2),2,5,0.5930799942650626,0.7212397120133043,TRUE
VAR(2),2,6,0.5417879806288134,0.7212397120133043,TRUE
VAR(2),2,7,0.5417879806288134,0.7212397120133043,TRUE
VAR(2),2,8,0.53300227760271,0.7212397120133043,TRUE
VAR(2),2,9,0.53300227760271,0.7212397120133043,TRUE
VAR(2),2,10,0.5208301404899675,0.7212397120133043,TRUE
VAR(2),2,11,0.47678067337275765,0.7212397120133043,TRUE
VAR(2),2,12,0.47678067337275765,0.7212397120133043,TRUE
VAR(2),2,13,0.42278377867203726,0.7212397120133043,TRUE
VAR(2),2,14,0.42278377867203726,0.7212397120133043,TRUE
VAR(2),2,15,0.4166065753384183,0.7212397120133043,TRUE
VAR(2),2,16,0.4166065753384183,0.7212397120133043,TRUE
VAR(2),2,17,0.38090262482424797,0.7212397120133043,TRUE
VAR(2),2,18,0.38090262482424797,0.7212397120133043,TRUE
VAR(2),2,19,0.25412783335895806,0.7212397120133043,TRUE
VAR(2),2,20,0.009094955866390619,0.7212397120133043,TRUE
