variable,EUA_ret,TTF_ret,Brent_ret,Power_ret,CPI_yoy_level,IP_growth,Bund2Y_change,CISS_level,GreenEquity_relative,GreenBond_relative
EUA_ret,1.0,0.2461895764446544,0.20786490316485592,0.10137379940166903,-0.03742475667542602,0.014590666267709298,0.18359012110795928,-0.2489519243433434,0.00490473941111636,-0.008636435207054007
TTF_ret,0.2461895764446544,1.0,0.1302432687765706,0.2608290033065659,0.006752406768746951,0.08351837530222644,0.02075296414938648,-0.13642894539935796,0.003290820343253031,-0.1199614233978901
Brent_ret,0.20786490316485592,0.1302432687765706,1.0,0.12233112895606991,-0.001776223652787912,0.020578902477419454,0.2225117700129401,-0.13488389487511396,-0.05149976381672178,-0.33239647299637853
Power_ret,0.10137379940166903,0.2608290033065659,0.12233112895606991,1.0,0.2430748284399493,0.059967008434056716,0.18187579715366153,-0.01000838460609001,-0.05736498189261534,-0.1675838450637695
CPI_yoy_level,-0.03742475667542602,0.006752406768746951,-0.001776223652787912,0.2430748284399493,1.0,-0.06592908118216366,0.2210665265868467,-0.017424723501781546,-0.2387563600690359,-0.0794673010069359
IP_growth,0.014590666267709298,0.08351837530222644,0.020578902477419454,0.059967008434056716,-0.06592908118216366,1.0,-0.012002252156025118,0.002095513715916808,-0.08027228670597002,-0.047583052485573284
Bund2Y_change,0.18359012110795928,0.02075296414938648,0.2225117700129401,0.18187579715366153,0.2210665265868467,-0.012002252156025118,1.0,-0.03091724303559322,-0.009675793983154775,-0.06497307469038288
CISS_level,-0.2489519243433434,-0.13642894539935796,-0.13488389487511396,-0.01000838460609001,-0.017424723501781546,0.002095513715916808,-0.03091724303559322,1.0,0.12178147278607931,-0.11779780111592668
GreenEquity_relative,0.00490473941111636,0.003290820343253031,-0.05149976381672178,-0.05736498189261534,-0.2387563600690359,-0.08027228670597002,-0.009675793983154775,0.12178147278607931,1.0,-0.13404975594394583
GreenBond_relative,-0.008636435207054007,-0.1199614233978901,-0.33239647299637853,-0.1675838450637695,-0.0794673010069359,-0.047583052485573284,-0.06497307469038288,-0.11779780111592668,-0.13404975594394583,1.0
